Hora,Escenario,Banda
15:00,Balcón IM,Paola Dalto (Tarde)
16:15,Balcón IM,Dani Umpi
17:15,Balcón IM,La Imbailable
18:45,Balcón IM,Zeballos
20:30,Balcón IM,Luciano Supervielle
22:45,Balcón IM,F5
24:15,Balcón IM,Paola Dalto (Noche)
25:35,Balcón IM,Candombe 300 (Balcón)
15:30,Libertador,Spuntone y Mendaro
16:35,Libertador,La Triple Nelson
17:40,Libertador,Ana Prada
18:45,Libertador,Mocchi
19:50,Libertador,Ruben Rada
21:10,Libertador,Laura Canoura
22:15,Libertador,Hereford
23:20,Libertador,EMI
24:25,Libertador,Buitres
15:30,Gaucho,Asaltantes con Patente
16:45,Gaucho,Camila Sapin
17:45,Gaucho,Luana
19:30,Gaucho,Lucas Sugo
21:15,Gaucho,Larbanois y Carrero
23:30,Gaucho,Florencia Núñez
24:35,Gaucho,Karibe con K
25:40,Gaucho,Candombe 300 (Gaucho)
15:00,Cagancha,Ninguna Higuera
15:50,Cagancha,Samantha Navarro y La Dulce
16:55,Cagancha,Gonzalo Deniz
18:00,Cagancha,Sofía Álvez
18:50,Cagancha,Niña Lobo
19:40,Cagancha,Fernando Cabrera
20:45,Cagancha,Eté y los Problems
21:50,Cagancha,Cuatro Pesos de Propina
23:10,Cagancha,Agarrate Catalina
15:00,Matriz,Rossana Taddei
15:50,Matriz,Diane Denoir
16:40,Matriz,Milongas Extremas
17:45,Matriz,Maia Castro
18:50,Matriz,Las 10 Guitarras de los 300 Años
19:55,Matriz,Francis Andreu
21:15,Matriz,Jorge Nasser